Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;21/03/2019;1200;18.9;93;924.4;3.3;10;
83781;21/03/2019;1800;18.4;92;924.2;4;10;
83781;22/03/2019;0000;17;92;925.9;5;10;
83781;22/03/2019;1200;19.1;83;927.5;5;10;
83781;22/03/2019;1800;21;75;926.2;3.3;10;
83781;23/03/2019;0000;18.7;85;927.6;2.5;10;
83781;23/03/2019;1200;20.8;73;928;1.6;0;
83781;23/03/2019;1800;28.9;49;924.6;1.6;7;
83781;24/03/2019;0000;20.6;82;928.6;2.5;10;
83781;24/03/2019;1200;23.3;72;929;2.6;6;
83781;24/03/2019;1800;27.1;62;924.9;2.5;7;
83781;25/03/2019;0000;21.9;81;926.3;1.6;0;
83781;25/03/2019;1200;22.4;80;926.3;2.5;0;
83781;25/03/2019;1800;30.4;40;924.2;1.6;7;
83781;26/03/2019;0000;26.2;60;925;1.6;10;
83781;26/03/2019;1200;23.4;64;927.5;0;4;
83781;26/03/2019;1800;28.2;57;925;3.3;6;
83781;27/03/2019;0000;22;81;927.7;3.3;10;
83781;27/03/2019;1200;22.2;72;929.5;3.3;5;
83781;27/03/2019;1800;27.7;58;927.6;3.3;3;
83781;28/03/2019;0000;22.4;94;931.8;4.6;8;
83781;28/03/2019;1200;21.1;82;931.3;1.6;10;
83781;28/03/2019;1800;22.3;78;929.9;3.5;10;
83781;29/03/2019;0000;19.8;82;932.2;4;10;
83781;29/03/2019;1200;20.5;76;932.5;3.3;10;
83781;29/03/2019;1800;23.5;66;928.8;4.1;10;
83781;30/03/2019;0000;20.2;78;930.8;5;10;
83781;30/03/2019;1200;20.6;72;932.2;1.6;5;
83781;30/03/2019;1800;27.7;49;927.1;1.8;7;
83781;31/03/2019;0000;21;74;928.5;3;10;
83781;31/03/2019;1200;20.9;73;928.3;4.1;8;
83781;31/03/2019;1800;28;41;924.6;1.3;8;
83781;01/04/2019;0000;21.3;79;926.9;2.3;10;
83781;01/04/2019;1200;22;72;927.4;2.5722;8.75;
83781;01/04/2019;1800;27.3;56;924.5;4.62996;6.25;
83781;02/04/2019;0000;20.2;78;926;4.62996;8.75;
83781;02/04/2019;1200;20.1;79;927.2;3.08664;6.25;
83781;02/04/2019;1800;28.1;43;924.2;2.05776;6.25;
83781;03/04/2019;0000;20.6;81;926;2.05776;10;
83781;03/04/2019;1200;19.5;80;925.3;1.02888;10;
83781;03/04/2019;1800;29.3;39;922.4;1.54332;1.25;
83781;04/04/2019;0000;24.8;54;922.7;0;0;
83781;04/04/2019;1200;22.3;71;923;0;0;
83781;04/04/2019;1800;31.6;37;920.4;2.5722;3.75;
83781;05/04/2019;0000;27.1;61;922.2;1.54332;0;
83781;05/04/2019;1200;26.2;61;923.7;2.05776;5;
83781;05/04/2019;1800;30.3;50;921.2;3.60108;10;
83781;06/04/2019;0000;25.8;66;922.9;1.02888;5;
83781;06/04/2019;1200;24.2;76;926.8;0;10;
