Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;19/02/1980;1200;19.1;84;919.1;3.6;10;
83781;19/02/1980;1800;18.6;89;919.2;3.3;10;
83781;20/02/1980;0000;17.5;95;920.5;4;10;
83781;20/02/1980;1200;18.1;94;921.9;5.3;10;
83781;20/02/1980;1800;22.7;72;921.6;2;10;
83781;21/02/1980;0000;19;84;923.1;3;10;
83781;21/02/1980;1200;17.1;95;924.9;0.8;8;
83781;21/02/1980;1800;26.8;55;923.6;1.6;9;
83781;22/02/1980;0000;20.4;83;925.6;4.6;10;
83781;22/02/1980;1200;22.2;83;925.4;3.3;6;
83781;22/02/1980;1800;26.6;64;923.4;5;8;
83781;23/02/1980;0000;21;92;926.7;7.5;10;
83781;23/02/1980;1200;22.8;79;926.7;1.3;8;
83781;23/02/1980;1800;29.4;47;924.1;3.3;7;
83781;24/02/1980;0000;19.9;94;926.3;4;10;
83781;24/02/1980;1200;22.5;81;927.3;2.3;8;
83781;24/02/1980;1800;27.6;62;923.8;2.8;9;
83781;25/02/1980;0000;20.3;88;925.9;1.1;10;
83781;25/02/1980;1200;22.9;78;925.7;2;8;
83781;25/02/1980;1800;29.2;56;922.9;4.1;6;
83781;26/02/1980;0000;20.9;81;924.9;2;10;
83781;26/02/1980;1200;21.6;84;926.1;3.3;9;
83781;26/02/1980;1800;23.8;76;924.9;1.8;10;
83781;27/02/1980;0000;21.8;87;925.6;4;10;
83781;27/02/1980;1200;20.5;93;926;3.3;10;
83781;27/02/1980;1800;21.8;84;924.2;3.1;10;
83781;28/02/1980;0000;21;86;924.9;3.6;10;
83781;28/02/1980;1200;22.6;80;925.5;3.3;10;
83781;28/02/1980;1800;21.8;88;924.1;2.5;10;
83781;29/02/1980;0000;20.3;90;925.9;3.3;10;
83781;29/02/1980;1200;24.4;81;925.6;1.6;9;
83781;29/02/1980;1800;29.2;59;923.2;4.1;8;
83781;01/03/1980;0000;26;82;925.3;1.8;2;
83781;01/03/1980;1200;24.6;73;927.6;1.6;5;
83781;01/03/1980;1800;30.8;47;925.1;1;7;
83781;02/03/1980;0000;24.9;67;926.5;2.6;0;
83781;02/03/1980;1200;24.6;75;928.4;3.3;2;
83781;02/03/1980;1800;31;50;926.7;3.8;7;
83781;03/03/1980;0000;24.7;80;926.8;1.6;2;
83781;03/03/1980;1200;25.5;74;928.5;1.6;4;
83781;03/03/1980;1800;30.1;47;926.2;2.3;8;
83781;04/03/1980;0000;22.6;83;926.7;3.3;10;
83781;04/03/1980;1200;22.6;81;928.2;3;9;
83781;04/03/1980;1800;28.2;58;924.6;3;10;
83781;05/03/1980;0000;22.9;82;925.9;4.5;10;
83781;05/03/1980;1200;23.1;80;926.3;3.3;4;
83781;05/03/1980;1800;29.2;46;924.6;3;8;
83781;06/03/1980;0000;23.4;85;926.5;1.5;10;
83781;06/03/1980;1200;24.1;70;927.9;2.6;0;
83781;06/03/1980;1800;30;44;926.5;3.1;7;
83781;07/03/1980;0000;22.8;83;925.9;2;10;
83781;07/03/1980;1200;25;73;926.9;1.3;1;
83781;07/03/1980;1800;29.9;47;923.8;2.8;8;
83781;08/03/1980;0000;23.8;79;925.3;1.6;10;
83781;08/03/1980;1200;23.6;83;925.8;1.6;10;
83781;08/03/1980;1800;30;47;922.8;2.5;10;
83781;09/03/1980;0000;21.8;86;925;1;10;
83781;09/03/1980;1200;23.1;83;924.5;2.5;8;
83781;09/03/1980;1800;28.6;53;922;3.8;9;
83781;10/03/1980;0000;21.8;89;924.7;1.5;10;
83781;10/03/1980;1200;21.3;89;925.2;1.6;10;
83781;10/03/1980;1800;22.9;78;924;3;10;
83781;11/03/1980;0000;20.8;89;926;2.8;10;
83781;11/03/1980;1200;21.7;85;926.8;0.7;0;
83781;11/03/1980;1800;27.9;64;922.8;3.5;10;
83781;12/03/1980;0000;21.7;91;924.4;2.6;10;
83781;12/03/1980;1200;21.8;91;924;2;5;
83781;12/03/1980;1800;28.9;52;920.4;6.1;5;
83781;13/03/1980;0000;24.6;72;921.3;4.3;10;
83781;13/03/1980;1200;23.4;73;921;5;5;
83781;13/03/1980;1800;27.6;57;918.1;5.3;10;
83781;14/03/1980;0000;19.6;90;920.7;3.6;10;
83781;14/03/1980;1200;21.1;88;922.6;1.6;10;
83781;14/03/1980;1800;25.4;69;922.2;2.8;10;
83781;15/03/1980;0000;20.5;83;924.4;4;10;
83781;15/03/1980;1200;21.6;84;924.7;3.3;10;
83781;15/03/1980;1800;23;86;923.4;3;10;
83781;16/03/1980;0000;20;92;925.1;3;10;
83781;16/03/1980;1200;21.2;89;925;1.6;9;
83781;16/03/1980;1800;27.3;60;922.7;1.5;8;
83781;17/03/1980;0000;22.3;90;925.3;1.8;10;
83781;17/03/1980;1200;21.6;91;926.6;1.3;10;
83781;17/03/1980;1800;26.6;70;925.1;0;10;
83781;18/03/1980;0000;22.8;88;926.1;3.6;10;
83781;18/03/1980;1200;21.3;89;927.6;2.5;10;
